league,unabated_name,kalshi_code
NBA,Atlanta Hawks,ATL
NBA,Boston Celtics,BOS
NBA,Brooklyn Nets,BKN
NBA,Charlotte Hornets,CHA
NBA,Chicago Bulls,CHI
NBA,Cleveland Cavaliers,CLE
NBA,Dallas Mavericks,DAL
NBA,Denver Nuggets,DEN
NBA,Detroit Pistons,DET
NBA,Golden State Warriors,GSW
NBA,Houston Rockets,HOU
NBA,Indiana Pacers,IND
NBA,LA Clippers,LAC
NBA,Los Angeles Lakers,LAL
NBA,Memphis Grizzlies,MEM
NBA,Miami Heat,MIA
NBA,Milwaukee Bucks,MIL
NBA,Minnesota Timberwolves,MIN
NBA,New Orleans Pelicans,NOP
NBA,New York Knicks,NYK
NBA,Oklahoma City Thunder,OKC
NBA,Orlando Magic,ORL
NBA,Philadelphia 76ers,PHI
NBA,Phoenix Suns,PHX
NBA,Portland Trail Blazers,POR
NBA,Sacramento Kings,SAC
NBA,San Antonio Spurs,SAS
NBA,Toronto Raptors,TOR
NBA,Utah Jazz,UTA
NBA,Washington Wizards,WAS
